           1    0.890529    0.890529           0
           2    0.873789    0.882159  0.00591849
           3    0.895975    0.886764  0.00545047
           4    0.890341    0.887658  0.00416056
           5    0.888883    0.887903  0.00333565
           6    0.875089    0.885767  0.00339529
           7    0.892791    0.886771   0.0030549
           8    0.894167    0.887695  0.00280944
           9    0.874551    0.886235  0.00285173
          10    0.896407    0.887252    0.002742
          11     0.87693    0.886314  0.00264843
          12    0.907624     0.88809  0.00296393
          13    0.893805    0.888529  0.00276836
          14    0.905124    0.889715  0.00281295
          15    0.908476    0.890965  0.00289014
          16    0.881852    0.890396  0.00276507
          17    0.883868    0.890012  0.00262894
          18    0.894957    0.890286   0.0024972
          19    0.889868    0.890264  0.00236587
          20    0.878517    0.889677  0.00231934
