           1    -5.46069    -5.46069           0
           2    -5.46179    -5.46124 0.000391532
           3     -5.4612    -5.46123 0.000261252
           4    -5.46124    -5.46123 0.000195955
           5    -5.46099    -5.46118 0.000162364
           6    -5.46136    -5.46121 0.000137974
           7    -5.45959    -5.46098 0.000244663
           8    -5.46098    -5.46098 0.000214081
           9    -5.46116      -5.461 0.000191234
          10    -5.46096      -5.461 0.000172144
          11    -5.46096    -5.46099 0.000156519
          12    -5.46199    -5.46108 0.000164068
          13    -5.46057    -5.46104 0.000156006
          14    -5.46013    -5.46097 0.000157795
          15    -5.46118    -5.46099 0.000147887
          16    -5.46119      -5.461 0.000139167
          17     -5.4609    -5.46099 0.000131094
          18    -5.46114      -5.461 0.000124049
          19     -5.4609      -5.461 0.000117629
          20    -5.46144    -5.46102 0.000113835
