           1    -3.37615    -3.37615           0
           2    -3.37474    -3.37545 0.000498225
           3    -3.37823    -3.37638 0.000827506
           4    -3.37538    -3.37613 0.000656839
           5    -3.37572    -3.37605 0.000530558
           6    -3.37585    -3.37601  0.00044309
           7    -3.37755    -3.37623 0.000430568
           8    -3.37521    -3.37611 0.000395185
           9    -3.37626    -3.37612 0.000351651
          10    -3.37671    -3.37618 0.000321276
          11    -3.37735    -3.37629 0.000309156
          12    -3.37727    -3.37637 0.000294037
          13    -3.37591    -3.37633 0.000273519
          14    -3.37567    -3.37629 0.000258031
          15    -3.37707    -3.37634 0.000246069
          16    -3.37717    -3.37639 0.000236093
          17    -3.37595    -3.37637 0.000223603
          18    -3.37853    -3.37649 0.000241444
          19    -3.37533    -3.37643 0.000236269
          20    -3.37326    -3.37627 0.000272434
