           1   0.0604037   0.0604037           0
           2   0.0624777   0.0614407 0.000733273
           3   0.0609576   0.0612797 0.000506223
           4    0.060054   0.0609733 0.000463211
           5   0.0583874   0.0604561 0.000592705
           6   0.0585374   0.0601363 0.000573735
           7   0.0607725   0.0602272 0.000498919
           8   0.0597713   0.0601702 0.000439797
           9   0.0611286   0.0602767 0.000403618
          10   0.0612464   0.0603737 0.000374723
          11   0.0597108   0.0603134 0.000345469
          12   0.0586667   0.0601762 0.000342851
          13   0.0594539   0.0601206 0.000320947
          14   0.0594967   0.0600761 0.000301101
          15   0.0604718   0.0601024 0.000282181
          16   0.0599512    0.060093 0.000264703
          17   0.0582876   0.0599868 0.000269596
          18   0.0584445   0.0599011 0.000267889
          19   0.0602376   0.0599188 0.000254374
          20   0.0608728   0.0599665 0.000246087
