           1     1.64866     1.64866           0
           2      1.6133     1.63098   0.0125018
           3     1.65942     1.64046   0.0113733
           4     1.64739     1.64219  0.00866081
           5     1.64497     1.64275  0.00694646
           6     1.61467     1.63807  0.00719432
           7     1.65377     1.64031  0.00650703
           8     1.65256     1.64184  0.00587101
           9     1.61454     1.63881  0.00595091
          10     1.65881     1.64081  0.00568194
          11     1.62067     1.63898   0.0054523
          12     1.68325     1.64267  0.00612018
          13     1.65362     1.64351  0.00570709
          14     1.67782     1.64596  0.00580191
          15     1.68418     1.64851  0.00594831
          16     1.62916      1.6473  0.00569817
          17     1.63394     1.64651  0.00541688
          18     1.65651     1.64707   0.0051443
          19     1.64629     1.64703  0.00487371
          20     1.62114     1.64573  0.00479889
